power,delay,size,vdd,w_power,w_delay
0.001510533819771291,25.084291639206562,0.2459878921508789,0.1579979658126831,1.0,0.0
0.0019616305806099735,22.07978360269252,0.2597965598106384,0.17048069834709167,0.9833333492279053,0.016666650772094727
0.002506708560493684,19.58210201858749,0.27361899614334106,0.18298086524009705,0.9666666388511658,0.03333336114883423
0.003157892487173217,17.484006472373068,0.28745099902153015,0.1954946368932724,0.949999988079071,0.050000011920928955
0.003927971379819622,15.705113221304547,0.30128851532936096,0.20801831781864166,0.9333333373069763,0.06666666269302368
0.004830356292440166,14.184243311440456,0.3151273727416992,0.22054816782474518,0.9166666865348816,0.08333331346511841
0.00587904568253152,12.874165879609656,0.3289634585380554,0.2330804020166397,0.8999999761581421,0.10000002384185791
0.007088576448906462,11.737959334729707,0.3427925407886505,0.24561119079589844,0.8833333253860474,0.11666667461395264
0.008473983162964696,10.746420543977152,0.3566104471683502,0.25813668966293335,0.8666666746139526,0.13333332538604736
0.010050742708746183,9.876212295320158,0.3704129159450531,0.2706530690193176,0.8500000238418579,0.1499999761581421
0.011834742227508792,9.10849665048989,0.3841959238052368,0.2831565737724304,0.8333333134651184,0.1666666865348816
0.013842166113979515,8.427955729930568,0.397955060005188,0.29564327001571655,0.8166666626930237,0.18333333730697632
0.016089515529605514,7.822005320721307,0.41168633103370667,0.30810946226119995,0.800000011920929,0.19999998807907104
0.018593472965723865,7.28025184444712,0.42538556456565857,0.3205512762069702,0.7833333611488342,0.21666663885116577
0.02137088278140363,6.794039789018689,0.439048707485199,0.3329649567604065,0.7666666507720947,0.23333334922790527
0.024438636602087525,6.356122724863319,0.452671617269516,0.3453466296195984,0.75,0.25
0.027813701728938312,5.960384766427089,0.46625033020973206,0.3576928377151489,0.7333333492279053,0.2666666507720947
0.03151291774243396,5.601651502844549,0.47978079319000244,0.3699997663497925,0.7166666388511658,0.28333336114883423
0.03555302577574016,5.275510917111713,0.49325913190841675,0.38226377964019775,0.699999988079071,0.30000001192092896
0.03995056656410301,4.9781861308875515,0.506681501865387,0.3944813013076782,0.6833333373069763,0.3166666626930237
0.044721797381949514,4.7064296747149115,0.5200440287590027,0.40664881467819214,0.6666666865348816,0.3333333134651184
0.04988270104586441,4.457433300017216,0.5333431959152222,0.4187629222869873,0.6499999761581421,0.3500000238418579
0.05544873739090421,4.228766886763242,0.546575129032135,0.430820107460022,0.6333333253860474,0.36666667461395264
0.061435008617185254,4.018309581250282,0.5597363710403442,0.44281715154647827,0.6166666746139526,0.38333332538604736
0.06785605207238002,3.8242096131020573,0.5728235244750977,0.45475077629089355,0.6000000238418579,0.3999999761581421
0.0747257540484568,3.64484462144064,0.5858330726623535,0.46661776304244995,0.5833333134651184,0.4166666865348816
0.0820574064065279,3.4787855350126042,0.5987617373466492,0.4784150719642639,0.5666666626930237,0.4333333373069763
0.0898635902913439,3.324771334826192,0.6116064190864563,0.4901396632194519,0.550000011920929,0.44999998807907104
0.09815609685326564,3.1816863740653654,0.624363899230957,0.5017886757850647,0.5333333611488342,0.46666663885116577
0.10694595112841011,3.0485395962076534,0.6370313167572021,0.5133592486381531,0.5166666507720947,0.4833333492279053
0.11624326367969388,2.924449790472639,0.6496056914329529,0.5248486399650574,0.5,0.5
0.12605729795389134,2.808629897184555,0.6620843410491943,0.5362541675567627,0.4833333194255829,0.5166666507720947
0.13639642913326383,2.7003754761385923,0.6744644641876221,0.5475735068321228,0.46666666865348816,0.5333333015441895
0.14726799982600822,2.599055664095724,0.6867437362670898,0.5588039755821228,0.44999998807907104,0.550000011920929
0.1586783565272262,2.504103475046653,0.6989194750785828,0.569943368434906,0.4333333373069763,0.5666666626930237
0.1706330637941819,2.415006550519722,0.7109896540641785,0.5809895396232605,0.4166666567325592,0.5833333730697632
0.18313635689204263,2.3313048107684247,0.7229519486427307,0.5919402241706848,0.4000000059604645,0.6000000238418579
0.19619157216738572,2.252581117473973,0.7348041534423828,0.6027935147285461,0.38333332538604736,0.6166666746139526
0.20980102765569314,2.1784573935864247,0.7465444207191467,0.6135474443435669,0.36666667461395264,0.6333333253860474
0.22396606449922773,2.1085901563704876,0.7581709623336792,0.6242002844810486,0.3499999940395355,0.6499999761581421
0.23868689196159365,2.0426675456377303,0.769681990146637,0.6347503662109375,0.3333333432674408,0.6666666269302368
0.25396267717114696,1.9804054816223624,0.7810759544372559,0.6451960206031799,0.3166666626930237,0.6833333373069763
0.2697917282640018,1.9215441441309657,0.7923513650894165,0.6555359363555908,0.30000001192092896,0.699999988079071
0.28617102574143216,1.8658472459022024,0.8035068511962891,0.6657685041427612,0.28333333134651184,0.7166666984558105
0.30309692652080467,1.8130972571487352,0.8145411014556885,0.67589271068573,0.2666666805744171,0.7333333492279053
0.32056458303148466,1.7630955621988267,0.825452983379364,0.6859073042869568,0.25,0.75
0.3385683233650736,1.7156594914201337,0.8362415432929993,0.6958112120628357,0.23333333432674408,0.7666666507720947
0.3571014870919062,1.6706213308617597,0.8469058871269226,0.7056034207344055,0.21666666865348816,0.7833333015441895
0.37615688224716193,1.62782592960883,0.8574451804161072,0.7152833938598633,0.20000000298023224,0.800000011920929
0.39572560993067796,1.587132157414038,0.8678585290908813,0.7248499989509583,0.18333333730697632,0.8166666626930237
0.41579904225853986,1.548407519363208,0.8781456351280212,0.734302818775177,0.1666666716337204,0.8333333134651184
0.436367149457809,1.5115308989828995,0.8883059024810791,0.7436412572860718,0.15000000596046448,0.8500000238418579
0.45741913365407766,1.4763902706781533,0.8983388543128967,0.7528647780418396,0.13333334028720856,0.8666666746139526
0.47894382274029645,1.4428813632348856,0.908244252204895,0.7619730830192566,0.11666666716337204,0.8833333253860474
0.5009291285650342,1.4109079308199466,0.9180218577384949,0.7709658145904541,0.10000000149011612,0.8999999761581421
0.5233627978115984,1.380380037888935,0.9276716709136963,0.7798429131507874,0.0833333358168602,0.9166666865348816
0.5462312372641523,1.3512151677327477,0.9371934533119202,0.7886040806770325,0.06666667014360428,0.9333333373069763
0.5695212329515272,1.3233354358444194,0.9465874433517456,0.797249436378479,0.05000000074505806,0.949999988079071
0.593218444299332,1.296669141554134,0.9558537602424622,0.8057788610458374,0.03333333507180214,0.9666666388511658
0.6173086635018621,1.2711488528961936,0.9649925827980042,0.8141927123069763,0.01666666753590107,0.9833333492279053
0.64177663649296,1.2467123754238651,0.9740042090415955,0.822490930557251,0.0,1.0
